TABLE S1. Data from Adenot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;SMILES-Adenot;SMILES;SMILES-B;Name;BBB-crossing;P-gp;note;E;S;A;B;V;MW;PSA;logP;logD(7.4);No of H donors;No of H Accetors;pKa (Acid);pKa (Base);Iv (Carboxy);(+)Form;(-)Form;(+/-)Form;0Form;No of Rotatable bonds;Distance-Ab;Training or test set;;;;;;
449;CN1CCN(CC1)C1=Nc2ccccc2Oc2ccc(cc12)Cl;CN1CCN(CC1)C3=Nc2ccccc2Oc4ccc(Cl)cc34 ;CN1CCN(CC1)C3=Nc2ccccc2Oc4ccc(Cl)cc34 ;loxapine;1;;;2,39;1,97;0,00;1,83;2,39;327,81;28,07;3,04;2,69;0;4;999;7,5;0;0,557;0,000;0,000;0,443;1;0,29;Training;;;;;;
450;CN1C(CNC(=O)c2cocc2)CN=C(c2ccccc2)c2ccc(cc12)F;CN3C(CNC(=O)c1ccoc1)CN=C(c2ccccc2)c4ccc(F)cc34 ;CN3C(CNC(=O)c1ccoc1)CN=C(c2ccccc2)c4ccc(F)cc34 ;lufuradom;1;;;2,53;2,25;0,23;1,76;2,78;377,41;57,84;4,10;4,10;1;5;999;3,2;0;0,000;0,000;0,000;1,000;4;0,50;Training;;;;;;
451;OC1(N2CCN=C2c2ccccc12)c1ccc(cc1)Cl;OC2(N1CCN=C1c3ccccc23)c4ccc(Cl)cc4 ;OC2(N1CCN=C1c3ccccc23)c4ccc(Cl)cc4 ;mazindol;1;;;2,53;2,04;0,33;1,64;2,01;284,74;35,83;3,14;1,91;1;3;999;8,6;0;0,941;0,000;0,000;0,059;1;0,46;Training;;;;;;
452;CN1CCN(CC1)CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C;CN1CCN(CC1)CC(=O)C4(O)CCC5C3CCC2=CC(=O)C=CC2(C)C3C(O)CC45C ;CN1CCN(CC1)CC(=O)C4(O)CCC5C3CCC2=CC(=O)C=CC2(C)C3C(O)CC45C ;mazipredone;1;;;2,41;3,07;0,45;2,96;3,49;442,59;81,08;1,48;-1,12;2;6;999;10;0;0,997;0,000;0,000;0,003;3;0,50;Training;;;;;;
453;CC(NN)c1ccccc1;CC(NN)c1ccccc1 ;CC(NN)c1ccccc1 ;mebanazine;1;;;1,09;1,19;0,53;0,82;1,20;136,19;38,05;0,66;0,56;3;2;999;6,8;0;0,201;0,000;0,000;0,799;2;0,47;Training;;;;;;
454;CCC(C)C(C)(COC(N)=O)COC(N)=O;CCC(C)C(C)(COC(N)=O)COC(N)=O ;CCC(C)C(C)(COC(N)=O)COC(N)=O ;mebutamate;1;;;0,68;1,64;0,56;1,45;1,87;232,28;104,64;1,33;1,33;4;6;999;-999;0;0,000;0,000;0,000;1,000;8;0,70;Training;;;;;;
455;363;CN(C)CCC(=O)COc1ccc(Cl)cc1 ;CN(C)CCC(=O)COc1ccc(Cl)cc1 ;meclofenoxate;1;;;1,05;1,45;0,01;1,31;1,86;241,71;29,54;2,65;0,96;0;3;999;9,1;0;0,980;0,000;0,000;0,020;6;0,31;Training;;;;;;
456;C[C@@H]1N=C(c2ccccc2Cl)c2cc(ccc2NC1=O)[N+]([O-])=O;CC3N=C(c1ccccc1Cl)c2cc(ccc2NC3=O)N(=O)=O ;CC3N=C(c1ccccc1Cl)c2cc(ccc2NC3=O)N(=O)=O ;meclonazepam;1;;;2,25;2,45;0,28;1,50;2,25;329,74;87,28;2,89;2,89;1;6;999;1,8;0;0,000;0,000;0,000;1,000;2;0,36;Training;;;;;;
457;364;Cc2nc1ccccc1c(=O)n2c3ccccc3Cl ;Cc2nc1ccccc1c(=O)n2c3ccccc3Cl ;mecloqualone;1;;;2,15;1,72;0,00;1,29;1,93;270,71;32,67;3,01;3,01;0;3;999;2,3;0;0,000;0,000;0,000;1,000;1;0,32;Training;;;;;;
458;CNC(=O)NC(O)C(Cl)(Cl)Cl;CNC(=O)NC(O)C(Cl)(Cl)Cl ;CNC(=O)NC(O)C(Cl)(Cl)Cl ;mecloralurea;1;;;1,00;1,48;0,92;1,16;1,31;221,47;61,36;0,85;0,85;3;4;999;-999;0;0,000;0,000;0,000;1,000;2;0,35;Training;;;;;;
459;C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](Cl)C[C@]2(C)[C@@]1(O)C(=O)CO;CCCC(=O)OCC(=O)C3(OC(=O)CCC)C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(Cl)C(Cl)CC34C ;CCCC(=O)OCC(=O)C3(OC(=O)CCC)C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(Cl)C(Cl)CC34C ;meclorisone (meclorisone-dibutyrate);1;;they have same simple SMILES;2,08;3,30;0,03;1,90;4,24;567,54;86,74;7,31;7,31;0;6;999;-999;0;0,000;0,000;0,000;1,000;10;0,82;Training;;;;;;
460;365;CN2CCN=C(c1ccccc1)c3cc(Cl)ccc23 ;CN2CCN=C(c1ccccc1)c3cc(Cl)ccc23 ;medazepam;1;;;2,04;1,44;0,00;1,16;2,06;270,76;15,60;4,33;4,31;0;2;999;6,2;0;0,059;0,000;0,000;0,941;1;0,47;Training;;;;;;
461;C[C@H]1C[C@H]2[C@@H]3CC[C@H](C(C)=O)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)CCC(=O)C=C12;CC3CC2C1CCC(C(O)=O)C1(C)CC(O)C2C4(C)CCC(=O)C=C34 ;CC3CC2C1CCC(C(O)=O)C1(C)CC(O)C2C4(C)CCC(=O)C=C34 ;medrysone;1;;;1,83;2,67;0,75;1,54;2,74;346,46;74,60;1,85;-0,64;2;4;4,9;-999;1;0,000;0,997;0,000;0,003;1;0,50;Training;;;;;;
462;CCN(CC)CCNC(=O)COc1ccc(cc1)OC;CCN(CC)CCNC(=O)COc1ccc(OC)cc1 ;CCN(CC)CCNC(=O)COc1ccc(OC)cc1 ;mefexamide;1;;;1,11;1,72;0,21;1,73;2,32;280,36;50,80;1,87;-0,01;1;5;999;9,3;0;0,988;0,000;0,000;0,012;9;0,45;Training;;;;;;
463;CN(C)CCC=C1c2ccccc2C(C)(C)c2ccccc12;CN(C)CCC=C2c1ccccc1C(C)(C)c3ccccc23 ;CN(C)CCC=C2c1ccccc1C(C)(C)c3ccccc23 ;melitracen;1;;;1,93;1,19;0,00;1,13;2,54;291,43;3,24;5,74;4,05;0;1;999;9,1;0;0,980;0,000;0,000;0,020;3;0,58;Training;;;;;;
464;CC1CCN(CCCC(=O)c2ccc(cc2)F)CC1;CC2CCN(CCCC(=O)c1ccc(F)cc1)CC2 ;CC2CCN(CCCC(=O)c1ccc(F)cc1)CC2 ;melperone;1;;;1,03;1,29;0,01;1,04;2,15;263,35;20,31;3,21;0,52;0;2;999;10,3;0;0,999;0,000;0,000;0,001;5;0,24;Training;;;;;;
465;CC12CC3CC(C)(C1)CC(N)(C3)C2;CC13CC2CC(C)(C1)CC(N)(C2)C3 ;CC13CC2CC(C)(C1)CC(N)(C2)C3 ;memantine;1;;;1,04;1,28;0,15;0,63;1,57;179,30;26,02;3,02;0,17;2;1;999;10,6;0;0,999;0,000;0,000;0,001;0;0,29;Training;;;;;;
466;COc1ccccc1OCC1CNC(=O)O1;COc1ccccc1OCC2CNC(=O)O2 ;COc1ccccc1OCC2CNC(=O)O2 ;mephenoxalone;1;;;1,24;1,61;0,17;1,24;1,60;223,22;56,79;1,22;1,22;1;5;999;-999;0;0,000;0,000;0,000;1,000;4;0,31;Training;;;;;;
467;COc1ccc2c(c1)C(O)(CCCN(C)C)c1ccccc1S2;COc3ccc2Sc1ccccc1C(O)(CCCN(C)C)c2c3 ;COc3ccc2Sc1ccccc1C(O)(CCCN(C)C)c2c3 ;meprotixol;1;;;2,28;1,80;0,31;1,20;2,58;329,46;58,00;2,98;1,01;1;3;999;9,4;0;0,990;0,000;0,000;0,010;5;0,26;Training;;;;;;
468;369;C1CN2CCC1C(C2)CN4c3ccccc3Sc5ccccc45 ;C1CN2CCC1C(C2)CN4c3ccccc3Sc5ccccc45 ;mequitazine;1;;;2,62;1,78;0,00;1,23;2,49;322,47;31,78;4,98;3,01;0;2;999;9,4;0;0,990;0,000;0,000;0,010;2;0,40;Training;;;;;;
469;371;CN1CCCCC1CCN3c2ccccc2Sc4ccc(cc34)S(C)=O ;CN1CCCCC1CCN3c2ccccc2Sc4ccc(cc34)S(C)=O ;mesoridazine;1;;;2,80;3,12;0,00;1,75;2,96;386,57;68,06;4,66;2,69;0;3;999;9,4;0;0,990;0,000;0,000;0,010;4;0,42;Training;;;;;;
470;CN(C)S(=O)(=O)N[C@H]1C[C@H]2[C@@H](Cc3cn(c4cccc2c34)C)N(C)C1;CN1CC(CC2C1Cc3cn(C)c4cccc2c34)NS(=O)(=O)N(C)C ;CN1CC(CC2C1Cc3cn(C)c4cccc2c34)NS(=O)(=O)N(C)C ;mesulergine;1;;;2,63;3,10;0,23;2,13;2,72;362,49;65,96;1,64;-0,05;1;6;999;9,1;0;0,980;0,000;0,000;0,020;3;0,52;Training;;;;;;
471;CC(=O)Nc1cccc(c1)O;CC(=O)Nc1cccc(O)c1 ;CC(=O)Nc1cccc(O)c1 ;metacetamol;1;;;1,06;1,63;0,96;0,80;1,17;151,16;49,33;0,71;0,62;2;3;8;-999;0;0,000;0,201;0,000;0,799;1;0,42;Training;;;;;;
472;CC(C)(O)C(C)(O)c1cccc(c1)Cl;CC(C)(O)C(C)(O)c1cccc(Cl)c1 ;CC(C)(O)C(C)(O)c1cccc(Cl)c1 ;metaglycodol;1;;;1,16;1,04;0,74;0,80;1,66;214,69;40,46;1,90;1,90;2;2;999;-999;0;0,000;0,000;0,000;1,000;2;0,33;Training;;;;;;
473;374;CNC(C)Cc1ccccc1 ;CNC(C)Cc1ccccc1 ;methamphetamine;1;;;0,83;0,75;0,10;0,89;1,38;149,23;12,03;2,15;-0,09;1;1;999;9,7;0;0,995;0,000;0,000;0,005;3;0,24;Training;;;;;;
474;CN(C)CCN(Cc1sccc1)c1ccccn1;CN(C)CCN(Cc1cccs1)c2ccccn2 ;CN(C)CCN(Cc1cccs1)c2ccccn2 ;methapyrilene;1;;;1,74;1,74;0,00;1,39;2,11;261,39;47,61;2,75;1,33;0;3;999;8,8;0;0,962;0,000;0,000;0,038;6;0,27;Training;;;;;;
475;CCC1(CC)C(=O)NC(=O)N(C)C1=O;CCC1(CC)C(=O)NC(=O)N(C)C1=O ;CCC1(CC)C(=O)NC(=O)N(C)C1=O ;metharbital;1;;;0,97;1,56;0,21;1,41;1,51;198,22;66,48;1,16;1,08;1;5;8,1;-999;0;0,000;0,166;0,000;0,834;2;0,36;Training;;;;;;
476;CCCC(C)C1(CCSC)C(=O)NC(=NC1=O)S;CCCC(C)C1(CCSC)C(=O)NC(=S)NC1=O ;CCCC(C)C1(CCSC)C(=O)NC(=S)NC1=O ;methitural;1;;;1,83;1,80;0,43;1,63;2,21;288,43;115,59;2,75;2,50;2;4;7,5;-999;0;0,000;0,443;0,000;0,557;6;0,31;Training;;;;;;
477;CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O;CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O ;CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O ;methohexital;1;;;1,36;1,65;0,15;1,47;2,09;262,30;66,48;2,73;2,65;1;5;8,1;-999;0;0,000;0,166;0,000;0,834;5;0,35;Training;;;;;;
478;COC(F)(F)C(Cl)Cl;COC(F)(F)C(Cl)Cl ;COC(F)(F)C(Cl)Cl ;methoxyflurane;1;;;0,10;0,41;0,00;0,25;0,87;164,97;9,23;2,21;2,21;0;1;999;-999;0;0,000;0,000;0,000;1,000;2;0,27;Training;;;;;;
479;CN1CC[C@]23[C@H]4CC=C(C)[C@@H]3Oc3c(ccc(c32)C[C@H]41)O;CN2CC14C3CC=C(C)C1Oc5c(O)ccc(CC23)c45 ;CN2CC14C3CC=C(C)C1Oc5c(O)ccc(CC23)c45 ;methyldesorphine;1;;;1,95;1,79;0,31;1,40;2,01;269,34;32,70;3,21;1,80;1;3;9,6;8,8;0;0,956;0,000;0,006;0,038;0;0,28;Training;;;;;;
480;CN1CC[C@]23[C@H]4CC[C@](C)(O)[C@@H]3Oc3c(ccc(c32)C[C@H]41)O;CN2CCC14C3CCC(C)(O)C1Oc5c(O)ccc(CC23)c45 ;CN2CCC14C3CCC(C)(O)C1Oc5c(O)ccc(CC23)c45 ;methyldihydromorphine;1;;;1,99;2,12;0,57;1,78;2,25;301,38;52,93;1,16;0,03;2;4;9,6;8,5;0;0,921;0,000;0,006;0,073;0;0,41;Training;;;;;;
481;380;CCC(C)(O)C#C;CCC(C)(O)C#C;methylpentynol;1;;;0,38;0,48;0,46;0,49;0,93;98,14;20,23;0,84;0,84;1;1;999;-999;0;0,000;0,000;0,000;1,000;2;0,41;Training;;;;;;
482;C[C@H]1CC2[C@@H]3CC[C@](O)(C(=O)COC(=O)CCC(O)=O)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12;CC3CC2C1CCC(O)(C(=O)COC(=O)CCC(O)=O)C1(C)CC(O)C2C4(C)C=CC(=O)C=C34;CC3CC2C1CCC(O)(C(=O)COC(=O)CCC(O)=O)C1(C)CC(O)C2C4(C)C=CC(=O)C=C34;methylprednisolone21hemisuccinate (methylprednisolone-hemisuccinate);1;;Adenot names methylprednisolone-hemisuccinate;2,23;3,48;0,99;2,49;3,55;474,54;138,20;2,14;-0,35;3;8;4,9;-999;1;0,000;0,997;0,000;0,003;7;0,31;Training;;;;;;
483;CN1CCN(CC1)C1=Nc2ccccc2Sc2ccc(cc12)C;CN1CCN(CC1)C3=Nc2ccccc2Sc4ccc(C)cc34 ;CN1CCN(CC1)C3=Nc2ccccc2Sc4ccc(C)cc34 ;metiapine;1;;;2,64;1,88;0,00;1,67;2,51;323,46;44,14;3,37;3,01;0;3;999;7,5;0;0,557;0,000;0,000;0,443;1;0,41;Training;;;;;;
484;COc1cc(cc(c1OC)OC)C(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(cc32)Cl)CC1;COc1cc(cc(OC)c1OC)C(=O)OCCN5CCN(CCCN3c2ccccc2Sc4ccc(Cl)cc34)CC5 ;COc1cc(cc(OC)c1OC)C(=O)OCCN5CCN(CCCN3c2ccccc2Sc4ccc(Cl)cc34)CC5 ;metofenazate;1;;;3,39;3,48;0,00;2,45;4,38;598,15;89,01;6,05;5,80;0;8;999;7,3;0;0,443;0,000;0,000;0,557;12;1,02;Training;;;;;;
485;CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(CC1)C(N)=O)c1ccccc1S2;CS(=O)(=O)c4ccc3Sc1ccccc1N(CCCN2CCC(CC2)C(N)=O)c3c4 ;CS(=O)(=O)c4ccc3Sc1ccccc1N(CCCN2CCC(CC2)C(N)=O)c3c4 ;metopimazine;1;;;3,05;3,52;0,34;2,04;3,28;445,60;117,39;2,59;0,62;2;6;999;9,4;0;0,990;0,000;0,000;0,010;6;0,46;Training;;;;;;
486;CN1CC[C@]23[C@H]4CCC(=O)[C@]3(C)Oc3c(ccc(c32)C[C@H]41)O;CN2CCC14C3CCC(=O)C1(C)Oc5c(O)ccc(CC23)c45 ;CN2CCC14C3CCC(=O)C1(C)Oc5c(O)ccc(CC23)c45 ;metopon;1;;;2,01;2,53;0,33;1,80;2,21;299,36;49,77;0,53;-0,60;1;4;9,6;8,5;0;0,921;0,000;0,006;0,073;0;0,24;Training;;;;;;
487;CO[C@H]1C[C@@H]2CN3CCc4c([nH]c5cc(ccc45)OC)[C@H]3C[C@@H]2[C@@H]([C@H]1OC)C(=O)OC;COC5CC4CN3CCc1c([nH]c2cc(OC)ccc12)C3CC4C(C5OC)C(=O)OC ;COC5CC4CN3CCc1c([nH]c2cc(OC)ccc12)C3CC4C(C5OC)C(=O)OC ;metoserpate;1;;;2,36;2,64;0,42;2,20;3,23;428,52;73,02;2,15;2,00;1;7;999;7;0;0,285;0,000;0,000;0,715;5;0,51;Training;;;;;;
488;COc1ccc2c(c1)C(=Cc1ccccc1O2)N1CCN(C)CC1;COc4ccc3Oc1ccccc1C=C(N2CCN(C)CC2)c3c4 ;COc4ccc3Oc1ccccc1C=C(N2CCN(C)CC2)c3c4 ;metoxepin;1;;;2,20;2,02;0,00;1,54;2,51;322,40;24,94;3,09;0,49;0;4;999;10;0;0,997;0,000;0,000;0,003;2;0,61;Training;;;;;;
489;COc1ccc2n3c4c(c2c1)CCN=C4N(C)CC3;COc4ccc3n1CCN(C)C2=NCCc(c12)c3c4 ;COc4ccc3n1CCN(C)C2=NCCc(c12)c3c4 ;metralindole;1;;;2,19;1,98;0,00;1,57;1,93;255,31;29,76;2,56;0,87;0;4;999;9,1;0;0,980;0,000;0,000;0,020;1;0,53;Training;;;;;;
490;NC(=O)Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)N;Cc1ncc(N(=O)=O)n1CCO ;Cc1ncc(N(=O)=O)n1CCO ;metronidazole;1;;;0,79;1,93;0,43;1,19;1,19;171,15;83,87;-0,33;-0,33;1;6;999;5;0;0,004;0,000;0,000;0,996;3;1,29;Training;;;;;;
491;CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12;CCC(C)C(=O)OC2CCC=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 ;CCC(C)C(=O)OC2CCC=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 ;mevastatin;1;;;1,58;2,47;0,58;1,45;3,15;390,51;72,83;4,01;4,01;1;5;999;-999;0;0,000;0,000;0,000;1,000;7;0,41;Training;;;;;;
492;CC1COC2(N1CC(=O)Nc1ccc(cc12)Cl)c1ccccc1Cl;CC1COC2(N1CC(=O)Nc3ccc(Cl)cc23)c4ccccc4Cl ;CC1COC2(N1CC(=O)Nc3ccc(Cl)cc23)c4ccccc4Cl ;mexazolam;1;;;2,64;2,60;0,22;1,61;2,47;363,24;41,57;4,01;3,39;1;4;999;7,9;0;0,760;0,000;0,000;0,240;1;0,26;Training;;;;;;
493;CNc1nc(c(c(n1)N1CCN(C)CC1)SC)Cl;CNc1nc(Cl)c(SC)c(n1)N2CCN(C)CC2 ;CNc1nc(Cl)c(SC)c(n1)N2CCN(C)CC2 ;mezilamine;1;;;1,88;2,02;0,14;1,96;2,10;287,81;69,59;0,99;0,58;1;5;999;7,6;0;0,613;0,000;0,000;0,387;3;0,50;Training;;;;;;
494;CN1CCN2C(C1)c1ccccc1Cc1ccccc21;CN1CCN3C(C1)c2ccccc2Cc4ccccc34 ;CN1CCN3C(C1)c2ccccc2Cc4ccccc34 ;mianserin;1;;;2,07;1,70;0,00;1,10;2,15;264,36;6,48;3,31;3,14;0;2;999;7,1;0;0,334;0,000;0,000;0,666;0;0,25;Training;;;;;;
495;143;Clc3ccc(COC(Cn1ccnc1)c2ccc(Cl)cc2Cl)c(Cl)c3 ;Clc3ccc(COC(Cn1ccnc1)c2ccc(Cl)cc2Cl)c(Cl)c3 ;miconazole;1;;;2,48;2,26;0,00;0,84;2,72;416,13;27,05;5,51;5,45;0;3;999;6,6;0;0,137;0,000;0,000;0,863;6;0,69;Training;;;;;;
496;NC1=NC(NC1(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F;NC1=NC(NC1(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F ;NC1=NC(NC1(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F ;midaflur;1;;;-0,07;0,03;0,58;1,06;1,45;357,10;50,41;1,69;-1,99;3;3;999;11,1;0;1,000;0,000;0,000;0,000;4;1,72;Training;;;;;;
497;385;CCCCCNCC(N)=O ;CCCCCNCC(N)=O ;milacemide;1;;;0,50;1,09;0,61;0,87;1,31;144,21;55,12;-0,66;-1,52;3;3;999;8,2;0;0,863;0,000;0,000;0,137;6;0,35;Training;;;;;;
498;CO\N=C\C1=CCCN(C)C1;CON=CC1=CCCN(C)C1 ;CON=CC1=CCCN(C)C1 ;milameline;1;;;0,74;0,71;0,00;0,90;1,30;154,21;24,83;0,27;-1,42;0;3;999;9,1;0;0,980;0,000;0,000;0,020;2;0,25;Training;;;;;;
499;Cc1cc(nnc1NCCN1CCOCC1)c1ccccc1;Cc1cc(nnc1NCCN2CCOCC2)c3ccccc3 ;Cc1cc(nnc1NCCN2CCOCC2)c3ccccc3 ;minaprine;1;;;1,91;2,16;0,19;1,69;2,38;298,38;50,28;1,98;1,68;1;5;999;7,4;0;0,500;0,000;0,000;0,500;5;0,28;Training;;;;;;
500;CCO[C@H]1C[C@@]2(C)[C@@H](CC[C@H]3[C@@H]4CC[C@H](C(C)=O)[C@@]4(C)C[C@H]([C@@H]32)N(C)C)C[C@@H]1O;CCOC4CC2(C)C(CCC3C1CCC(C(C)=O)C1(C)CC(C23)N(C)C)CC4O ;CCOC4CC2(C)C(CCC3C1CCC(C(C)=O)C1(C)CC(C23)N(C)C)CC4O ;minaxolone;1;;;1,57;2,36;0,55;2,04;3,43;405,61;49,77;3,30;0,82;1;4;999;10;0;0,997;0,000;0,000;0,003;4;0,43;Training;;;;;;
501;CN1[C@H]2CC[C@@H]1C[C@H](C2)NC(=O)C1=CN(C2CCCCC2)c2ccccc2C1=O;CN1C2CCC1CC(C2)NC(=O)c5cn(C3CCCCC3)c4ccccc4c5=O ;CN1C2CCC1CC(C2)NC(=O)c5cn(C3CCCCC3)c4ccccc4c5=O ;mirisetron;1;;;2,51;2,82;0,32;1,90;3,11;393,52;52,65;2,58;0,48;1;5;999;9,5;0;0,992;0,000;0,000;0,008;3;0,30;Training;;;;;;
502;CN1CCN2C(C1)c1ccccc1Cc1cccnc21;CN1CCN3C(C1)c2ccccc2Cc4cccnc34 ;CN1CCN3C(C1)c2ccccc2Cc4cccnc34 ;mirtazapine;1;;;2,09;1,85;0,00;1,45;2,11;265,35;19,37;2,56;2,31;0;3;999;7,3;0;0,443;0,000;0,000;0,557;0;0,25;Training;;;;;;
503;Clc1ccc(cc1)C(=O)NCCN1CCOCC1;Clc1ccc(cc1)C(=O)NCCN2CCOCC2 ;Clc1ccc(cc1)C(=O)NCCN2CCOCC2 ;moclobemide;1;;;1,40;2,21;0,27;1,56;1,99;268,74;41,57;1,79;1,77;1;4;999;5,9;0;0,031;0,000;0,000;0,969;4;0,56;Training;;;;;;
504;NC(=O)CS(=O)C(c1ccccc1)c1ccccc1;NC(=O)CS(=O)C(c1ccccc1)c2ccccc2 ;NC(=O)CS(=O)C(c1ccccc1)c2ccccc2 ;modafinil;1;;;2,00;2,87;0,36;1,31;2,08;273,35;79,37;1,32;1,32;2;3;999;-999;0;0,000;0,000;0,000;1,000;5;0,46;Training;;;;;;
505;C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl;CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(Cl)C(O)CC3(C)C4(OC(=O)c5ccco5)C(=O)CCl ;CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(Cl)C(O)CC3(C)C4(OC(=O)c5ccco5)C(=O)CCl ;mometasone (mometasone-furoate);1;;Adenot names mometasone-furoate with cis-or trans SMILES;2,63;3,51;0,29;1,92;3,67;521,43;93,81;4,40;4,40;1;6;999;-999;0;0,000;0,000;0,000;1,000;5;0,45;Training;;;;;;
506;CNCCCN1c2ccccc2C(C)(C)c2ccccc12;CNCCCN2c1ccccc1C(C)(C)c3ccccc23 ;CNCCCN2c1ccccc1C(C)(C)c3ccccc23 ;monometacrine;1;;;1,82;1,54;0,10;1,06;2,40;280,41;15,27;4,54;1,92;1;2;999;10,2;0;0,998;0,000;0,000;0,002;4;0,27;Training;;;;;;
507;387;Cc1ccc(cc1)C3(O)CCN(CCCC(=O)c2ccc(F)cc2)CC3 ;Cc1ccc(cc1)C3(O)CCN(CCCC(=O)c2ccc(F)cc2)CC3 ;moperone;1;;;1,85;1,86;0,38;1,83;2,82;355,44;40,54;3,16;2,03;1;3;999;8,5;0;0,926;0,000;0,000;0,074;6;0,51;Training;;;;;;
508;388;CN1CCC24C3Oc5c(O)ccc(CC1C2C=CC3O)c45 ;CN1CCC24C3Oc5c(O)ccc(CC1C2C=CC3O)c45 ;morphine;1;P-gp (Adenot, J. Chem. Inf. Comput. Sci. 2004, 44, 239-248 and Liu Drug Metab. Dispo. 2004,32,132);;2,12;2,19;0,52;1,71;2,06;285,34;52,93;0,78;0,00;2;4;9,6;8,1;0;0,828;0,001;0,005;0,165;0;0,24;Training;;;;;;
509;CC1(CC(=O)N(CN2CCOCC2)C1=O)c1ccccc1;CC2(CC(=O)N(CN1CCOCC1)C2=O)c3ccccc3 ;CC2(CC(=O)N(CN1CCOCC1)C2=O)c3ccccc3 ;morsuximide;1;;;1,68;2,19;0,00;1,76;2,20;288,34;49,85;0,92;0,62;0;5;999;7,4;0;0,500;0,000;0,000;0,500;3;0,28;Training;;;;;;
510;Clc1ccc2c(c1)N(CCCN1CCC3(CC1)N1CCCCC1NC3=O)c1ccccc1CC2;Clc6ccc5CCc1ccccc1N(CCCN2CCC4(CC2)N3CCCCC3NC4=O)c5c6 ;Clc6ccc5CCc1ccccc1N(CCCN2CCC4(CC2)N3CCCCC3NC4=O)c5c6 ;mosapramine;1;;;3,17;3,01;0,20;2,31;3,68;479,06;38,82;5,44;3,43;1;5;999;9,4;0;0,990;0,000;0,000;0,010;4;0,70;Training;;;;;;
511;COCN1C(=O)CN=C(c2ccccc2)c2cc(ccc21)[N+]([O-])=O;COCN2C(=O)CN=C(c1ccccc1)c3cc(ccc23)N(=O)=O ;COCN2C(=O)CN=C(c1ccccc1)c3cc(ccc23)N(=O)=O ;motrazepam;1;;;2,03;2,62;0,00;1,85;2,33;325,32;87,72;1,77;1,77;0;7;999;3,2;0;0,000;0,000;0,000;1,000;4;0,27;Training;;;;;;
512;CNC(=O)O[C@@H]1OC(=O)[C@H]2[C@H]3C[C@H](C=C3)[C@@H]12;CNC(=O)OC2OC(=O)C3C1CC(C=C1)C23 ;CNC(=O)OC2OC(=O)C3C1CC(C=C1)C23 ;moxadolen;1;;;1,14;1,89;0,27;1,11;1,54;223,22;64,63;0,49;0,49;1;5;999;-999;0;0,000;0,000;0,000;1,000;2;0,59;Training;;;;;;
513;Cc1cc(nnc1NCCN1CCOCC1)c1ccc(cc1)O;Cc1cc(nnc1NCCN1CCOCC1)c1ccc(cc1)O;Cc1cc(nnc1NCCN1CCOCC1)c1ccc(cc1)O;moxiraprine;1;;;2,08;2,37;0,57;1,94;2,44;314,38;70,51;1,36;1,05;2;6;9,2;7,4;0;0,492;0,008;0,008;0,492;5;0,31;Training;;;;;;
514;CCCCCCCCCCCCCC(=O)OC1C=C[C@H]2[C@H]3Cc4ccc(c5c4[C@@]2(CCN3C)[C@H]1O5)OCc1ccccc1;CCCCCCCCCCCCCC(=O)OC2C=CC3C4Cc5ccc(OCc1ccccc1)c6OC2C3(CCN4C)c56 ;CCCCCCCCCCCCCC(=O)OC2C=CC3C4Cc5ccc(OCc1ccccc1)c6OC2C3(CCN4C)c56 ;myrophine;1;;;2,50;2,63;0,06;1,87;4,80;585,81;48,00;9,42;8,64;0;5;999;8,1;0;0,834;0,000;0,000;0,166;17;0,82;Training;;;;;;
